TLD	Registration Price	Renewal Price	Minimum Term
.space	$2.99 per year	$19.99 per year	1 Year
.srl	$39.99 per year	$39.99 per year	1 Year
.st	$49.99 per year	$49.99 per year	1 Year
.storage	$650.99 per year	$650.99 per year	1 Year
.store	$9.99 per year	$49.99 per year	1 Year
.stream	$2.99 per year	$2.99 per year	1 Year
.studio	$19.99 per year	$27.99 per year	1 Year
.study	$13.99 per year	$31.99 per year	1 Year
.style	$9.99 per year	$33.99 per year	1 Year
.supplies	$22.99 per year	$22.99 per year	1 Year
.supply	$22.99 per year	$22.99 per year	1 Year
.support	$5.99 per year	$21.99 per year	1 Year
.surf	$33.99 per year	$33.99 per year	1 Year
.surgery	$58.99 per year	$58.99 per year	1 Year
.systems	$5.99 per year	$21.99 per year	1 Year
.tattoo	$8.99 per year	$41.99 per year	1 Year
.tax	$9.99 per year	$58.99 per year	1 Year
.taxi	$9.99 per year	$54.99 per year	1 Year
.team	$6.99 per year	$33.99 per year	1 Year
.tech	$8.99 per year	$44.99 per year	1 Year
.technology	$5.99 per year	$21.99 per year	1 Year
.tel	$11.99 per year	$13.99 per year	1 Year
.tennis	$50.99 per year	$50.99 per year	1 Year
.theater	$54.99 per year	$54.99 per year	1 Year
.tickets	$455.99 per year	$455.99 per year	1 Year
.tienda	$58.99 per year	$58.99 per year	1 Year
.tips	$9.99 per year	$21.99 per year	1 Year
.today	$2.99 per year	$21.99 per year	1 Year
.tokyo	$14.99 per year	$14.99 per year	1 Year
.tools	$8.99 per year	$33.99 per year	1 Year
.tours	$6.99 per year	$48.99 per year	1 Year
.town	$6.99 per year	$33.99 per year	1 Year
.toys	$13.99 per year	$45.99 per year	1 Year
.trade	$2.99 per year	$4.99 per year	1 Year
.training	$13.99 per year	$33.99 per year	1 Year
.travel	$26.99 per year	$135.99 per year	1 Year
.tv	$29.99 per year	$29.99 per year	1 Year
.tw	$32.99 per year	$32.99 per year	1 Year
.uk	$9.99 per year	$9.99 per year	1 Year
.university	$43.99 per year	$58.99 per year	1 Year
.uno	$33.99 per year	$33.99 per year	1 Year
.us	$4.99 per year	$11.99 per year	1 Year
.vacations	$33.99 per year	$33.99 per year	1 Year
.vc	$34.99 per year	$34.99 per year	1 Year
